Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
70	Rajasthan - Kaman	JAWAHAR SINGH BEADHAM	Bharatiya Janata Party	71168	2	39621
70	Rajasthan - Kaman	ISHWARI DAYAL	Bahujan Samaj Party	3808	3	
70	Rajasthan - Kaman	MAKSOOD KHAN	Independent	1907	4	
70	Rajasthan - Kaman	None of the Above	None of the Above	1127	5	
70	Rajasthan - Kaman	BAL KISHAN	Aam Aadmi Party	897	6	
70	Rajasthan - Kaman	RAMESH CHAND KHURANA	Independent	503	7	
70	Rajasthan - Kaman	JAIKAM ALI	Independent	258	8	
70	Rajasthan - Kaman	RAKESH KUMAR	Loktantrik Janta Dal	187	9	
70	Rajasthan - Kaman	ANAAND SWAROOP	Independent	132	10	
70	Rajasthan - Kaman	SHYAM SUNDAR URF SHYAM	Bharatiya Yuva Shakti	102	11	
71	Rajasthan - Nagar	WAJIB ALI	Bahujan Samaj Party	62644	1	25467
71	Rajasthan - Nagar	NEM SINGH	Samajwadi Party	37177	2	25467
71	Rajasthan - Nagar	ANITA SINGH	Bharatiya Janata Party	34946	3	
71	Rajasthan - Nagar	MURARI LAL	Indian National Congress	31678	4	
71	Rajasthan - Nagar	TEK CHAND	Loktantrik Janta Dal	1274	5	
71	Rajasthan - Nagar	None of the Above	None of the Above	1034	6	
71	Rajasthan - Nagar	MAHAVEER	Ambedkarite Party of India	780	7	
71	Rajasthan - Nagar	RAVI KUMAR	Independent	723	8	
71	Rajasthan - Nagar	RAMESHWAR SINGH	Independent	273	9	
71	Rajasthan - Nagar	PREM CHAND	Abhinav Rajasthan Party	250	10	
71	Rajasthan - Nagar	BISHAMBAR DAYAL	Independent	214	11	
71	Rajasthan - Nagar	SANTRAM	Bharatiya Yuva Shakti	170	12	
72	Rajasthan - Deeg-kumher	VISHVENDRA SINGH	Indian National Congress	73730	1	8218
72	Rajasthan - Deeg-kumher	DR. SHAILESH SINGH	Bharatiya Janata Party	65512	2	8218
72	Rajasthan - Deeg-kumher	PRATAP SINGH SINSINWAR MAHARAWAR	Bahujan Samaj Party	20026	3	
72	Rajasthan - Deeg-kumher	None of the Above	None of the Above	1081	4	
72	Rajasthan - Deeg-kumher	SURENDRA SINGH	Independent	622	5	
72	Rajasthan - Deeg-kumher	CHANDRAPAL	Aam Aadmi Party	472	6	
72	Rajasthan - Deeg-kumher	OMVATI	Independent	416	7	
72	Rajasthan - Deeg-kumher	OMPRKASH	Independent	158	8	
72	Rajasthan - Deeg-kumher	VIKRAM SINGH HAVALDAR	Khushhal Kisan Party	140	9	
72	Rajasthan - Deeg-kumher	LOKENDRA KUMAR	Bharatiya Rashtravadi Samanta Party	128	10	
72	Rajasthan - Deeg-kumher	HARIOM	Bharatiya Yuva Shakti	90	11	
73	Rajasthan - Bharatpur	DR. SUBHASH GARG	Rashtriya Lok Dal	52869	1	15710
73	Rajasthan - Bharatpur	VIJAY BANSAL(PAPPU BANDA)	Bharatiya Janata Party	37159	2	15710
73	Rajasthan - Bharatpur	GIRDHARI TIWARI	Bharat Vahini Party	35407	3	
73	Rajasthan - Bharatpur	DALVEER SINGH	Independent	24258	4	
73	Rajasthan - Bharatpur	JASVEER SINGH	Bahujan Samaj Party	15018	5	
73	Rajasthan - Bharatpur	SANJEEV GUPTA	Aam Aadmi Party	2169	6	
73	Rajasthan - Bharatpur	UDAI SINGH	Shiv Sena	1296	7	
73	Rajasthan - Bharatpur	DR. RITU CHOUDHARY	Independent	962	8	
73	Rajasthan - Bharatpur	DINESH	Independent	829	9	
73	Rajasthan - Bharatpur	None of the Above	None of the Above	686	10	
73	Rajasthan - Bharatpur	SHEETAL PRASHAD SHARMA	Independent	576	11	
73	Rajasthan - Bharatpur	MAHENDRA SINGH	Ambedkarite Party of India	352	12	
73	Rajasthan - Bharatpur	TRILOK CHAND	Independent	333	13	
73	Rajasthan - Bharatpur	JAILAL VARMA	Independent	328	14	
73	Rajasthan - Bharatpur	TEJ SINGH	Dalit Kranti Dal	326	15	
73	Rajasthan - Bharatpur	POORAN SINGH	Independent	325	16	
73	Rajasthan - Bharatpur	PRIYANKA	Bharatiya Yuva Shakti	301	17	
73	Rajasthan - Bharatpur	YOGESH	Loktantrik Janta Dal	248	18	
73	Rajasthan - Bharatpur	SANJAY KASHMIRIYA	Independent	209	19	
73	Rajasthan - Bharatpur	HAJARI LAL SHARMA	Independent	101	20	
74	Rajasthan - Nadbai	JOGINDER SINGH AWANA	Bahujan Samaj Party	50976	1	4094
74	Rajasthan - Nadbai	KRISHNENDRA KAUR (DEEPA)	Bharatiya Janata Party	46882	2	4094
74	Rajasthan - Nadbai	DR. HIMANSHU KATARA	Indian National Congress	38136	3	
74	Rajasthan - Nadbai	KHAIM KARAN SINGH TOULI	Independent	29529	4	
74	Rajasthan - Nadbai	AJAY KATARA	Independent	6399	5	
74	Rajasthan - Nadbai	VIJENDRA SINGH DESHWAL	Rashtriya Loktantrik Party	4845	6	
74	Rajasthan - Nadbai	None of the Above	None of the Above	1214	7	
74	Rajasthan - Nadbai	RAJVEER SINGH	Khushhal Kisan Party	1113	8	
74	Rajasthan - Nadbai	MANPAL SINGH	Independent	675	9	
74	Rajasthan - Nadbai	DHEERAJ PARASHAR	Independent	631	10	
74	Rajasthan - Nadbai	SURJEET SINGH (CHHUTTAN DON)	Shiv Sena	301	11	
74	Rajasthan - Nadbai	RADHA DEVI	Bharatiya Yuva Shakti	284	12	
75	Rajasthan - Weir	BHAJAN LAL JATAV	Indian National Congress	78716	1	15283
75	Rajasthan - Weir	RAMSWAROOP KOLI	Bharatiya Janata Party	63433	2	15283
75	Rajasthan - Weir	ATARSINGH PAGARIA	Bahujan Samaj Party	21985	3	
75	Rajasthan - Weir	None of the Above	None of the Above	1356	4	
75	Rajasthan - Weir	DR. BHUPAL CHAND KOLI	Bharatiya Rashtravadi Samanta Party	1140	5	
75	Rajasthan - Weir	RAMCHARAN	Independent	579	6	
76	Rajasthan - Bayana	AMAR SINGH	Indian National Congress	86962	1	6695
76	Rajasthan - Bayana	DR. RITU BANAWAT	Bharatiya Janata Party	80267	2	6695
76	Rajasthan - Bayana	SUNIL KUMAR	Bahujan Samaj Party	3054	3	
76	Rajasthan - Bayana	None of the Above	None of the Above	1253	4	
76	Rajasthan - Bayana	MISHRI PRASAD KOLI	Independent	582	5	
76	Rajasthan - Bayana	MAHESH CHANDRA VALMEKI	Bharatiya Rashtravadi Samanta Party	215	6	
76	Rajasthan - Bayana	PREM SINGH	Bharatiya Yuva Shakti	195	7	
76	Rajasthan - Bayana	VISHNU KUMAR	Dalit Kranti Dal	192	8	
76	Rajasthan - Bayana	LOKENDRA	Aam Aadmi Party	165	9	
77	Rajasthan - Baseri	KHILADI LAL BAIRWA	Indian National Congress	54297	1	17556
77	Rajasthan - Baseri	CHHITRIYA LAL JATAV	Bharatiya Janata Party	36741	2	17556
77	Rajasthan - Baseri	SUKHRAM KOLI	Independent	18593	3	
77	Rajasthan - Baseri	UDAYVEER SINGH	Bahujan Samaj Party	2840	4	
77	Rajasthan - Baseri	DEEPAK KAIN	Bharat Vahini Party	2356	5	
77	Rajasthan - Baseri	INDRAJEET SINGH NAGAR	Independent	1829	6	
77	Rajasthan - Baseri	None of the Above	None of the Above	1672	7	
77	Rajasthan - Baseri	SUNIL KUMAR	Ambedkarite Party of India	762	8	
77	Rajasthan - Baseri	AJAY KUMAR VALMIKI	Aam Aadmi Party	710	9	
77	Rajasthan - Baseri	RAMDAS KHATEK	Bharatiya Rashtravadi Samanta Party	466	10	
77	Rajasthan - Baseri	MUNNI	Bharatiya Yuva Shakti	277	11	
78	Rajasthan - Bari	GIRRAJ SINGH	Indian National Congress	79712	1	19683
78	Rajasthan - Bari	JASVANT SINGH	Bharatiya Janata Party	60029	2	19683
78	Rajasthan - Bari	RAMHET	Bahujan Samaj Party	36798	3	
78	Rajasthan - Bari	None of the Above	None of the Above	1698	4	
78	Rajasthan - Bari	RAMHET	Independent	892	5	
78	Rajasthan - Bari	BRIJMOHAN	Independent	889	6	
78	Rajasthan - Bari	BAHADURSINGH	Independent	731	7	
78	Rajasthan - Bari	IMAMUDDEEN	Independent	465	8	
78	Rajasthan - Bari	GIRRAJ SINGH	Independent	324	9	
78	Rajasthan - Bari	JEETENDRA	Independent	141	10	
79	Rajasthan - Dholpur	SHOBHARANI KUSHWAH	Bharatiya Janata Party	67349	1	19360
79	Rajasthan - Dholpur	DR. SHIV CHARAN SINGH KUSHAWAH	Indian National Congress	47989	2	19360
79	Rajasthan - Dholpur	KISHAN CHAND SHARMA	Bahujan Samaj Party	21253	3	
79	Rajasthan - Dholpur	CHAND PRAKASH SHARMA URF C.P. SHARMA	Independent	6244	4	
79	Rajasthan - Dholpur	None of the Above	None of the Above	1335	5	
79	Rajasthan - Dholpur	RAMKHILADI	Independent	875	6	
79	Rajasthan - Dholpur	SURESH	Independent	577	7	
79	Rajasthan - Dholpur	AMIT KUMAR SISONDIYA	Bharatiya Yuva Shakti	471	8	
79	Rajasthan - Dholpur	MUKESH CHAND SHARMA	Independent	363	9	
79	Rajasthan - Dholpur	DRONACHARYA	Independent	209	10	
79	Rajasthan - Dholpur	PRAMOD KUMAR	Independent	202	11	
79	Rajasthan - Dholpur	GAFFAR UDDIN	Independent	121	12	
79	Rajasthan - Dholpur	ANUP KUMAR SHARMA	Independent	104	13	
80	Rajasthan - Rajakhera	ROHIT BOHRA	Indian National Congress	76278	1	14991
80	Rajasthan - Rajakhera	ASHOK SHARMA	Bharatiya Janata Party	61287	2	14991
80	Rajasthan - Rajakhera	None of the Above	None of the Above	1683	3	
80	Rajasthan - Rajakhera	PRIYANKA DEVI	Bahujan Samaj Party	1511	4	
80	Rajasthan - Rajakhera	NARAYANSINGH	Independent	852	5	
80	Rajasthan - Rajakhera	RAGHUVANSH	Bharatiya Yuva Shakti	801	6	
80	Rajasthan - Rajakhera	DEVI SINGH	Independent	663	7	
80	Rajasthan - Rajakhera	RAVINDRA SINGH	Independent	346	8	
80	Rajasthan - Rajakhera	KAUSHAL PARASHAR	Independent	204	9	
81	Rajasthan - Todabhim	PRITHVIRAJ	Indian National Congress	107691	1	73306
81	Rajasthan - Todabhim	RAMESH CHAND	Bharatiya Janata Party	34385	2	73306
81	Rajasthan - Todabhim	SHIV DAYAL	Bahujan Samaj Party	14857	3	
81	Rajasthan - Todabhim	KAMLA MEENA	Independent	2118	4	
81	Rajasthan - Todabhim	MAHENDRA SINGH	Bharat Vahini Party	1550	5	
81	Rajasthan - Todabhim	None of the Above	None of the Above	1474	6	
81	Rajasthan - Todabhim	SHARMILA DHANKA	Independent	539	7	
81	Rajasthan - Todabhim	REKHA MEENA	Independent	509	8	
81	Rajasthan - Todabhim	JAI PRAKASH MEENA	Bhartiya Kisan Party	412	9	
81	Rajasthan - Todabhim	HARKESH MEENA	Indian Peoples Green Party	272	10	
81	Rajasthan - Todabhim	RAKESH KUMAR MEENA	Bharatiya Rashtravadi Samanta Party	218	11	
81	Rajasthan - Todabhim	NAHARA SINGH MEENA	Aam Aadmi Party	199	12	
81	Rajasthan - Todabhim	RAJMOHAN MEENA	Ambedkarite Party of India	155	13	
82	Rajasthan - Hindaun	BHAROSI LAL	Indian National Congress	104694	1	26780
82	Rajasthan - Hindaun	MANJU KHAIRWAL	Bharatiya Janata Party	77914	2	26780
82	Rajasthan - Hindaun	None of the Above	None of the Above	1761	3	
82	Rajasthan - Hindaun	SHASHI DUTTA	Rashtriya Loktantrik Party	878	4	
82	Rajasthan - Hindaun	SHIVNARAYAN	Bharatiya Yuva Shakti	751	5	
83	Rajasthan - Karauli	LAKHAN SINGH	Bahujan Samaj Party	61163	1	9562
83	Rajasthan - Karauli	DARSHAN SINGH	Indian National Congress	51601	2	9562
83	Rajasthan - Karauli	OM PRAKASH SAINI URF O.P.SAINI	Bharatiya Janata Party	47022	3	
83	Rajasthan - Karauli	VEDPRAKASH URF BANTU NETA	Independent	4986	4	
83	Rajasthan - Karauli	KULDEEP PAL	Rashtriya Loktantrik Party	2331	5	
83	Rajasthan - Karauli	None of the Above	None of the Above	1144	6	
83	Rajasthan - Karauli	MADANLAL	Independent	977	7	
83	Rajasthan - Karauli	NARESH PAL	Independent	396	8	
83	Rajasthan - Karauli	GAJRAJ SINGH	Peoples Party of India (Democratic)	376	9	
83	Rajasthan - Karauli	KAMLESH	Independent	242	10	
83	Rajasthan - Karauli	AMARSINGH JATAV	Independent	198	11	
83	Rajasthan - Karauli	AKHLESH KUMAR	Independent	193	12	
83	Rajasthan - Karauli	SAHAB SINGH	Shiv Sena	140	13	
83	Rajasthan - Karauli	CHANDRAKALA	Abhinav Rajasthan Party	123	14	
83	Rajasthan - Karauli	VIKRAM	Bharatiya Yuva Shakti	96	15	
83	Rajasthan - Karauli	JASWANT SINGH	Jago Party	82	16	
84	Rajasthan - Sapotra	RAMESH CHAND MEENA	Indian National Congress	76399	1	14104
84	Rajasthan - Sapotra	GOLMA	Bharatiya Janata Party	62295	2	14104
84	Rajasthan - Sapotra	HANSRAJ MEENA	Bahujan Samaj Party	22831	3	
84	Rajasthan - Sapotra	None of the Above	None of the Above	2260	4	
84	Rajasthan - Sapotra	JAGDISH	Ambedkarite Party of India	2063	5	
84	Rajasthan - Sapotra	SHIVRAJ MEENA	Independent	1359	6	
84	Rajasthan - Sapotra	RAMESH CHAND MEENA	Independent	730	7	
84	Rajasthan - Sapotra	LAKHAN LAL MEENA (ADVOCATE)	Rajasthan Janta Party	579	8	
84	Rajasthan - Sapotra	JAMPHAL	Independent	527	9	
84	Rajasthan - Sapotra	MOHAN	Peoples Party of India (Democratic)	458	10	
84	Rajasthan - Sapotra	MUNESH	Bharatiya Yuva Shakti	370	11	
84	Rajasthan - Sapotra	MAHESH CHAND	Independent	353	12	
84	Rajasthan - Sapotra	TEJRAM MEENA	Independent	276	13	
84	Rajasthan - Sapotra	BAVLU KUMAR MEENA	Independent	263	14	
85	Rajasthan - Bandikui	GAJRAJ KHATANA	Indian National Congress	56433	1	4764
85	Rajasthan - Bandikui	RAM KISHOR SAINI	Bharatiya Janata Party	51669	2	4764
85	Rajasthan - Bandikui	BHAGCHAND SAINI	Bahujan Samaj Party	44992	3	
85	Rajasthan - Bandikui	None of the Above	None of the Above	1021	4	
85	Rajasthan - Bandikui	VED PRAKASH SHARMA	Independent	810	5	
85	Rajasthan - Bandikui	SHAILAJA SIKARWAR	Independent	760	6	
85	Rajasthan - Bandikui	SURESH KUMAR ASHIWAL	Independent	759	7	
85	Rajasthan - Bandikui	KAILASH SHARMA SOMADA	Hindustan Janta Party	614	8	
85	Rajasthan - Bandikui	RAMPHOOL MEENA	Independent	581	9	
85	Rajasthan - Bandikui	DHARAMRAM SAINI	Bharatiya Yuva Shakti	564	10	
85	Rajasthan - Bandikui	SHRI CHAND	Republican Party of India (A)	347	11	
85	Rajasthan - Bandikui	HARINARAYAN BANSHIWAL	Aam Aadmi Party	271	12	
85	Rajasthan - Bandikui	MANEESH JOSHI	Independent	204	13	
85	Rajasthan - Bandikui	RAMKARAN SAINI	Independent	170	14	
85	Rajasthan - Bandikui	JAGDISH	Independent	152	15	
85	Rajasthan - Bandikui	DAULAT RAM	Bharat Vahini Party	148	16	
85	Rajasthan - Bandikui	MAHAVEER PRASAD SAIN	Independent	108	17	
86	Rajasthan - Mahuwa	OM PRAKASH HUDLA	Independent	51310	1	9985
86	Rajasthan - Mahuwa	RAJENDRA	Bharatiya Janata Party	41325	2	9985
86	Rajasthan - Mahuwa	AJEET SINGH	Independent	19624	3	
86	Rajasthan - Mahuwa	AJAY KUMAR	Indian National Congress	16452	4	
86	Rajasthan - Mahuwa	VIJAY KUMAR	Bahujan Samaj Party	9423	5	
86	Rajasthan - Mahuwa	CHANDRA PRAKASH MEENA	Nationalist People's Front	3964	6	
86	Rajasthan - Mahuwa	None of the Above	None of the Above	1109	7	
86	Rajasthan - Mahuwa	OM PRAKASH	Independent	1029	8	
86	Rajasthan - Mahuwa	DAN SINGH MEENA	Independent	833	9	
86	Rajasthan - Mahuwa	MOHAN LAL	Independent	807	10	
86	Rajasthan - Mahuwa	RAJESH	Independent	636	11	
86	Rajasthan - Mahuwa	BHAGWAN SAHAY	Aam Aadmi Party	448	12	
86	Rajasthan - Mahuwa	DHARMENDRA	Independent	300	13	
87	Rajasthan - Sikrai	MAMTA BHUPESH	Indian National Congress	96454	1	33783
87	Rajasthan - Sikrai	VIKRAM BANSIWAL	Bharatiya Janata Party	62671	2	33783
87	Rajasthan - Sikrai	PHAILI RAM	Bahujan Samaj Party	5670	3	
87	Rajasthan - Sikrai	GEETA VERMA	Bharat Vahini Party	2236	4	
87	Rajasthan - Sikrai	None of the Above	None of the Above	2075	5	
88	Rajasthan - Dausa	MURARI LAL	Indian National Congress	99004	1	50948
88	Rajasthan - Dausa	SHANKAR LAL SHARMA	Bharatiya Janata Party	48056	2	50948
88	Rajasthan - Dausa	NAND LAL BANSIWAL	Independent	18847	3	
88	Rajasthan - Dausa	None of the Above	None of the Above	1529	4	
88	Rajasthan - Dausa	VIRENDRA KUMAR SHARMA (CHHOTYA)	Aam Aadmi Party	1260	5	
88	Rajasthan - Dausa	GOPAL LAL MEENA	Bahujan Samaj Party	1192	6	
88	Rajasthan - Dausa	DEVI SINGH	Bharat Vahini Party	1087	7	
88	Rajasthan - Dausa	DINESH KUMAR MEENA	Independent	734	8	
88	Rajasthan - Dausa	JAGRAM SAINI	Independent	326	9	
88	Rajasthan - Dausa	GOPI RAMAN SHARMA	Independent	212	10	
89	Rajasthan - Lalsot	PARSADI LAL	Indian National Congress	88828	1	9074
89	Rajasthan - Lalsot	RAMBILAS	Bharatiya Janata Party	79754	2	9074
89	Rajasthan - Lalsot	None of the Above	None of the Above	1987	3	
89	Rajasthan - Lalsot	SODAN MEENA	Bahujan Samaj Party	1470	4	
89	Rajasthan - Lalsot	HANSRAJ MEENA	Aam Aadmi Party	858	5	
89	Rajasthan - Lalsot	BABU LAL DHANKA	Rashtriya Loktantrik Party	605	6	
90	Rajasthan - Gangapur	RAMKESH	Independent	58744	1	10066
90	Rajasthan - Gangapur	MANSINGH GURJAR	Bharatiya Janata Party	48678	2	10066
90	Rajasthan - Gangapur	RAJESH	Indian National Congress	39861	3	
90	Rajasthan - Gangapur	RAMKHILARI MEENA	Bahujan Samaj Party	5295	4	
90	Rajasthan - Gangapur	None of the Above	None of the Above	2186	5	
90	Rajasthan - Gangapur	DASHARATH SINGH	Independent	944	6	
90	Rajasthan - Gangapur	RAHMAT KHAN	Independent	855	7	
90	Rajasthan - Gangapur	MANOJ KUMAR BAIRWA	Independent	803	8	
90	Rajasthan - Gangapur	PANKAJ KUMAR	Abhinav Rajasthan Party	662	9	
90	Rajasthan - Gangapur	KAUSHAL TANWAR	Independent	440	10	
90	Rajasthan - Gangapur	RAM SAHAY MEENA KALKY	Peoples Party of India (Democratic)	245	11	
90	Rajasthan - Gangapur	KRISHNA KANT	Independent	174	12	
90	Rajasthan - Gangapur	OMPRAKASH	Independent	150	13	
90	Rajasthan - Gangapur	MUKESH CHAND	Aam Aadmi Party	130	14	
90	Rajasthan - Gangapur	SAIYAD JAKIR HUSAIN	Nationalist People's Front	129	15	
91	Rajasthan - Bamanwas	INDRA	Indian National Congress	73656	1	38513
91	Rajasthan - Bamanwas	NAWAL KISHORE MEENA	Independent	35143	2	38513
91	Rajasthan - Bamanwas	RAJENDRA	Bharatiya Janata Party	25076	3	
91	Rajasthan - Bamanwas	None of the Above	None of the Above	1937	4	
91	Rajasthan - Bamanwas	MANTURI	Bahujan Samaj Party	1853	5	
91	Rajasthan - Bamanwas	RAJESH	Aam Aadmi Party	1751	6	
91	Rajasthan - Bamanwas	ANTIMA	Bharatiya Rashtravadi Samanta Party	726	7	
91	Rajasthan - Bamanwas	MAKKHAN	Independent	639	8	
91	Rajasthan - Bamanwas	SHYAM LAL	Independent	527	9	
92	Rajasthan - Sawai madhopur	DANISH ABRAR	Indian National Congress	85655	1	25199
92	Rajasthan - Sawai madhopur	ASHA MEENA	Bharatiya Janata Party	60456	2	25199
92	Rajasthan - Sawai madhopur	RAJESH GOYAL	Independent	5941	3	
92	Rajasthan - Sawai madhopur	KALU RAM MEENA	Communist Party of India	2909	4	
92	Rajasthan - Sawai madhopur	HANS RAJ	Bahujan Samaj Party	2489	5	
92	Rajasthan - Sawai madhopur	BANSI LAL	Independent	1181	6	
92	Rajasthan - Sawai madhopur	RAM RAJ MALI	Independent	799	7	
92	Rajasthan - Sawai madhopur	None of the Above	None of the Above	794	8	
92	Rajasthan - Sawai madhopur	RAMBAL MEENA	Ambedkarite Party of India	713	9	
92	Rajasthan - Sawai madhopur	SHIVDAYAL	Bhartiya Panchyat Party	579	10	
92	Rajasthan - Sawai madhopur	RAMRAJ MEENA	National Unionist Zamindara Party	445	11	
92	Rajasthan - Sawai madhopur	RAGHUVEER SINGH RAJAWAT	Independent	365	12	
92	Rajasthan - Sawai madhopur	SATISH JAIN	Aam Aadmi Party	321	13	
92	Rajasthan - Sawai madhopur	JAGDISH MEENA ADVOCATE	Independent	244	14	
92	Rajasthan - Sawai madhopur	BHAGWATI SINGH KUSTALA	Bharat Vahini Party	213	15	
92	Rajasthan - Sawai madhopur	CHAETAN KUMAR RANA	Independent	176	16	
92	Rajasthan - Sawai madhopur	ABDUL SALAM	Independent	173	17	
92	Rajasthan - Sawai madhopur	ASALAM KHAN	Bharatiya Yuva Shakti	131	18	
93	Rajasthan - Khandar	ASHOK	Indian National Congress	89028	1	27949
93	Rajasthan - Khandar	JITENDRA KUMAR GOTHWAL	Bharatiya Janata Party	61079	2	27949
93	Rajasthan - Khandar	None of the Above	None of the Above	2736	3	
93	Rajasthan - Khandar	RAMPRAKASH RAIGAR	Bahujan Samaj Party	2460	4	
93	Rajasthan - Khandar	BALRAM BAIRWA	Independent	1009	5	
93	Rajasthan - Khandar	RAMJILAL	Bharatiya Rashtravadi Samanta Party	442	6	
93	Rajasthan - Khandar	CHIRANJILAL BAIRWA	Independent	441	7	
93	Rajasthan - Khandar	SHAMBHOO	Aam Aadmi Party	390	8	
93	Rajasthan - Khandar	HARIPRASAD RAIGAR	Bharatiya Yuva Shakti	359	9	
94	Rajasthan - Malpura	KANHIYA LAL	Bharatiya Janata Party	93237	1	29786
94	Rajasthan - Malpura	RANVEER PHALWAN	Rashtriya Lok Dal	63451	2	29786
94	Rajasthan - Malpura	NARENDRA SINGH AAMLI	Bahujan Samaj Party	9836	3	
94	Rajasthan - Malpura	JEETRAM	Independent	2722	4	
94	Rajasthan - Malpura	None of the Above	None of the Above	1801	5	
94	Rajasthan - Malpura	RADHEYSHYAM VAISHNAV	Shiv Sena	1309	6	
94	Rajasthan - Malpura	KALYAN SINGH KURTHAL	Jago Party	1260	7	
94	Rajasthan - Malpura	SHASHIPAL JHAROTIYA	Ambedkarite Party of India	888	8	
94	Rajasthan - Malpura	PANKAJ DADHEECH	Independent	832	9	
94	Rajasthan - Malpura	SOURABH DIXIT	Janata Dal (Secular)	770	10	
94	Rajasthan - Malpura	PRAHLAD GUJAR	Bharatiya Yuva Shakti	678	11	
94	Rajasthan - Malpura	DR. RAM NARESH SANADHYA	Independent	509	12	
94	Rajasthan - Malpura	GIRIRAJ SINGH KHANGAROT	Aam Aadmi Party	481	13	
94	Rajasthan - Malpura	POOJA JANGID	Indian Peoples Green Party	465	14	
94	Rajasthan - Malpura	DR. SHIVDUTT SHARMA	Bharat Vahini Party	410	15	
94	Rajasthan - Malpura	DURGA LAL	Indian New Congress Party	321	16	
95	Rajasthan - Niwai	PRASHANT BAIRWA	Indian National Congress	105784	1	43889
95	Rajasthan - Niwai	RAM SAHAY VERMA	Bharatiya Janata Party	61895	2	43889
95	Rajasthan - Niwai	None of the Above	None of the Above	2253	3	
95	Rajasthan - Niwai	BANWARI LAL BAIRWA	Bahujan Samaj Party	1534	4	
95	Rajasthan - Niwai	NARESH KUMAR ATAL	Ambedkarite Party of India	1345	5	
95	Rajasthan - Niwai	BABU LAL BAIRWA	Bhartiya Jan Hitkari Party	596	6	
95	Rajasthan - Niwai	PAWAN KUMAR NAWAL	Independent	521	7	
96	Rajasthan - Tonk	SACHIN PILOT	Indian National Congress	109040	1	54179
96	Rajasthan - Tonk	YOONUS KHAN	Bharatiya Janata Party	54861	2	54179
96	Rajasthan - Tonk	MO ALI	Bahujan Samaj Party	1785	3	
96	Rajasthan - Tonk	None of the Above	None of the Above	1485	4	
96	Rajasthan - Tonk	PANCHU	Shiv Sena	1221	5	
96	Rajasthan - Tonk	AMAR SINGH CHOUDHARY	Bhartiya Jan Hitkari Party	1052	6	
96	Rajasthan - Tonk	NEELIMA AMERA	Independent	735	7	
96	Rajasthan - Tonk	RAMPAL	Aam Aadmi Party	628	8	
96	Rajasthan - Tonk	RASHEDA MAJEED	Independent	552	9	
96	Rajasthan - Tonk	MUKESH CHOUDHARY	Abhinav Rajasthan Party	207	10	
97	Rajasthan - Deoli - uniara	HARISH CHANDRA MEENA	Indian National Congress	95540	1	21476
97	Rajasthan - Deoli - uniara	RAJENDRA GURJAR	Bharatiya Janata Party	74064	2	21476
97	Rajasthan - Deoli - uniara	UDAY LAL GURJAR	Independent	8876	3	
97	Rajasthan - Deoli - uniara	OM PRAKASH BAIRWA	Bahujan Samaj Party	3724	4	
97	Rajasthan - Deoli - uniara	None of the Above	None of the Above	2605	5	
97	Rajasthan - Deoli - uniara	BADRILAL SHARMA	Abhinav Rajasthan Party	1088	6	
97	Rajasthan - Deoli - uniara	RAJU	Independent	894	7	
97	Rajasthan - Deoli - uniara	SURENDRA	National Unionist Zamindara Party	673	8	
97	Rajasthan - Deoli - uniara	LADDU LAL MEENA	Aam Aadmi Party	366	9	
97	Rajasthan - Deoli - uniara	BANWARI	Bharatiya Yuva Shakti	334	10	
98	Rajasthan - Kishangarh	SURESH TAK	Independent	82678	1	17452
98	Rajasthan - Kishangarh	VIKASH CHOUDHARY	Bharatiya Janata Party	65226	2	17452
98	Rajasthan - Kishangarh	NATHU RAM SINODIYA	Independent	22851	3	
98	Rajasthan - Kishangarh	NANDA RAM	Indian National Congress	15157	4	
98	Rajasthan - Kishangarh	MATADEEN	Independent	2955	5	
98	Rajasthan - Kishangarh	UMRAV CHOUDHARY	Aam Aadmi Party	1369	6	
98	Rajasthan - Kishangarh	SUNIL LAKHOTIYA	Independent	933	7	
98	Rajasthan - Kishangarh	SATYANARAYAN SAIN	Independent	887	8	
98	Rajasthan - Kishangarh	RAMDAYAL	Bahujan Samaj Party	842	9	
98	Rajasthan - Kishangarh	None of the Above	None of the Above	674	10	
98	Rajasthan - Kishangarh	GOPAL SHARMA	Hindustan Shakti Sena	646	11	
98	Rajasthan - Kishangarh	SAJJAN KANWAR	Bharatiya Yuva Shakti	450	12	
98	Rajasthan - Kishangarh	RAMDEV GURJAR	Independent	358	13	
98	Rajasthan - Kishangarh	TARUNA SHARMA	Bharat Lok Sewak Party	341	14	
98	Rajasthan - Kishangarh	DR. MAHESH KUMBHAJ	Independent	287	15	
98	Rajasthan - Kishangarh	BHAWANI SINGH KHANGAROT	Independent	253	16	
98	Rajasthan - Kishangarh	GOPAL MAHESHWARI	Abhinav Rajasthan Party	215	17	
99	Rajasthan - Pushkar	SURESH SINGH RAWAT	Bharatiya Janata Party	84860	1	9389
99	Rajasthan - Pushkar	NASIM AKHTAR INSAF	Indian National Congress	75471	2	9389
99	Rajasthan - Pushkar	SHAHABUDDIN(PAPPU QURESHI)	Rashtriya Loktantrik Party	4073	3	
99	Rajasthan - Pushkar	None of the Above	None of the Above	2288	4	
99	Rajasthan - Pushkar	RADHESHYAM BAWARI	Independent	2057	5	
99	Rajasthan - Pushkar	ANANDI PRASAD	Shiv Sena	1096	6	
